Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
167	ajinkyakhaire007	Jan 10, 2016	Yes	Purchased 2nd mob on snapdeal	As the brand suggest its best and the quality of snapdeal is far more better than the rival flipkart the phone was deliverd in just 3 days Its really a dil ki deal :-)
168	Guest	Jan 10, 2016	Yes	amazing product	Good product & very low price
169	Rahul	Jan 10, 2016	Yes	Product Review	Superb ! I am proud to be a costumer of Snapdeal
170	Guest	Jan 10, 2016	Yes	very happy with quality and service	I got my iphone delivered in 3 days. Quick delivery  and easy tracking.
171	Adil Hassan khanday.. Owner of iPhone 5s	Jan 08, 2016	Yes	Convenience at doorsteps	As soon as I ordered my iPhone, it got delivered soo soo soon and I was so happy with their delivery timing since it was a gift..  Thank u soo much..  Also,  I would like to add that the phone is amazing and really worth buying..
172	abhi	Jan 08, 2016	Yes	This is my first android device	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimal budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands.
173	drchetan_patel	Jan 08, 2016	Yes	Nice phone	Am apple user since 2006 First time i brought from snapdeal like apple fon its origional peace n satisfied delivery
174	mannubhati66	Jan 08, 2016	Yes	I love iPhone 5s	Very good product
175	Guest	Jan 08, 2016	Yes	My iPhone 5S	This is the phone for people who doesn't like handling Big Screens like 5" and above. And not for people who need a very high battery back up. Otherwise this phone is just too good. No comparison with its styling, iOS, handling etc.
176	pratik.kinkar6	Jan 08, 2016	Yes	jordar deal sd rocks	great deal.. worth for the money it costs.. go ahead buy it.. sd rocks perfect delivery.. iphone 5s at its very best price..
177	Guest	Jan 08, 2016	Yes	got a brand new phone	got a seal packed, brand new phone works perfect but idk why self declaration is written instead of f c codes
178	Prabhu	Jan 08, 2016	Yes	Good one and fast delivery	Good value for money and phone is classy.
179	janakiram	Jan 08, 2016	Yes	Excellent snapdeal and apple	Both product and service of snapdeal is very good.
180	Guest	Jan 08, 2016	Yes	Good phone	Overall worth the money
181	Suresh	Jan 07, 2016	Yes	Excellent Service from Snapdeal	I got my product in excellent condition in excellent packaging and much before the promised delivery time. To be precise, I got it on the 3rd day of placement of order.
182	Krus	Jan 07, 2016	Yes	Patel Krus	So Happy For Snap deal dil ki deal 100% original product
183	Rajesh	Jan 07, 2016	Yes	Money for Worth	Definitely a good and genuine product from Snapdeal. Should buy from snapdeal as compared to other online sites.
184	Guest	Jan 07, 2016	Yes	Does iPhone need a review	iPhone 5S at this price is definitely worth a buy. Yes it's couple of years old. However one can never go wrong with iPhone.
185	Sunny	Jan 07, 2016	Yes	this was awosme exprence.	This was awosme exprence for because i want give this phone to son on 31st Dec And u guys done great job and i got this phone on time and on date....
186	stephen.dsimech90	Jan 07, 2016	Yes	I phone 5s	I get the mobile at the date was the dealer tell. The packing was little poor but the handling is really good. It's work good condition.
187	Rahul	Jan 07, 2016	Yes	Fantabulous phone....evr	Great phone ever....it works great, commendable.
188	Guest	Jan 07, 2016	Yes	i phone 5s	Awesome service i m satisfied thankyou snapdeal
189	nikhil.khatri3637	Jan 07, 2016	Yes	Awesome ☆☆☆☆☆☆☆☆	Guys ! PLEASE BUY PHONES HERE ! SUPER FAST DELIVERY ! ADORABLE PACKING !
190	Subha	Jan 07, 2016	Yes	Awesome Phone	Got the delivery earlier than I anticipated. The product is original and flawless. The phone runs smoothly without any fuss or lag. I would recommend everyone to buy from Snapdeal.
191	shruthinarayangowda	Jan 06, 2016	Yes	Good  product	Thank you for delivering within a day . products is really  good. Any one can trust .
192	Guest	Jan 06, 2016	Yes	original Apple India iPhone good packing timely delivery	Fully satisfied original genuine product
193	Guest	Jan 06, 2016	Yes	Excellent Service	I was using IPhone 5 and so not new to the quality of Apple. It is always better than the the other best. But experience with this purchase from Snapdeal was quite thrilling.  Received the product within two days- 5 days ahead of the schedule. Packing was very good and the new IPhone 5S was excellent as expected. Thanks to Snapdeal for providing such a good product at such a low rate.
194	chandrasubhash953	Jan 06, 2016	Yes	Perfect phone	Its a perfect phone no doubt Fully satisfied with the delivery  Ordered on 22nd December and got on 25th December  The most favourite feature of mine is- 1) The Touch id 2) The Camera
195	Guest	Jan 06, 2016	Yes	iphone review	Great phone at a reasonable cost
196	Youthesh	Jan 06, 2016	Yes	Genuine Apple Iphone 5S	fast delivery... Brand new phone with 1 warranty (Checked in apple website). Would surely recommend to people who want to switch to ios from android.
197	Guest	Jan 06, 2016	Yes	best ever 😊	Great tym to delivery 😊
198	k88vishu	Jan 06, 2016	Yes	good product really love it.	Its good product, nice experience with snapdeal.
199	deepak143saini	Jan 06, 2016	Yes	Genuine Product	Its a genuine product with very cheap rates. Also delivered within 3 days.
200	cooolbatti	Jan 06, 2016	Yes	iphone 5s average	Often getting hang..not much impressive..Very slow in delivering the product.
201	Guest	Jan 05, 2016	Yes	good value for money	Genuine 👍
202	Guest	Jan 05, 2016	Yes	best rate at snapdeal	Og product ..awsome product
203	Abu	Jan 05, 2016	Yes	Apple Iphone 5S	It is perfect!
204	cool.samkulkarni	Jan 05, 2016	Yes	IPhone 5S mobile	It's good I likes it, happy from snap deal services
205	anikjain1996	Jan 05, 2016	Yes	Excellent in every way	Excellent product and excellent service by snapdeal
206	Chandrasekar	Jan 05, 2016	Yes	IPHONE 5s GREY	VERY GOOD !!!!!
207	ranjan	Jan 05, 2016	Yes	good phone	good phone
208	capricornian.karan	Jan 05, 2016	Yes	Superb product	Genuine product  On time delivery  Lowest price  Snapdeal good job
209	SANJAY	Jan 05, 2016	Yes	Awesome phone in awesome price	Awesome phone in awesome price... :)
210	soumyapune	Jan 05, 2016	Yes	Typical iphone	I bought it 9 days back. Well its a good product. Gets a little heated while charging. I got it before the promised delivery date so good work by snap deal on that front. The box was neatly packed with all the accessories in good condition. Yet to use it in full throttle mode. So won't make any over enthusiastic comment. One feedback to snap deal is please increase the refund/exchange policy time period. 7 days is not enough for an electronic device. Flipkart has 30 days so at least make it 15 days or so. Over all satisfied as of now
211	Rahul	Dec 23, 2015	Yes	Great phone	Best mob and reached very fast and best paking.
212	soumencamellia	Dec 23, 2015	Yes	Happy with my purhase	Delivered before time
213	sam	Dec 23, 2015	Yes	ok n average	ok n average
214	Syam	Dec 23, 2015	Yes	Prompt delivery and good service	Got the product in 2 days,  the packing was good and no damage. The product is hundred percent genuine and I never faced any issue with the delivery.  Service was excellent.
