Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1230	saibi	Oct 14, 2015	Yes	Awesome phone in this price range	I am very happy for this phone i realy enjoyed
1231	sunil	Oct 14, 2015	Yes	Canvas	Service is very fast the phone i book you had deliver it on the very next day
1232	Atul yadav	Oct 14, 2015	Yes	Good product in this range	Good product in this range   Display is good  Light in weight  Good looking  RAM is less
1233	guddu	Oct 14, 2015	Yes	Awesome	Superb phone .............. camera quality is very good .battry backup nic ....and nic loookkkk
1234	N3	Oct 14, 2015	Yes	Love deal	Quality product and speedy delivery well done snapdeal
1235	bunny	Oct 14, 2015	Yes	canvas spark 2 review	awsm mobile . . . .   . .   . . .         . .phone speed good and nice look ......
1236	ritesh	Oct 14, 2015	Yes	Worth every penny spend	Amazing display. Seamless performance. Camera quality very gud . Overall a very gud choice in budget phones
1237	Asad	Oct 14, 2015	Yes	Value of Money	GOOD PRODUCT IN THIS PRICE................highly recommended at this price range
1238	Nice	Oct 14, 2015	Yes	Good at this range	It is a good phone at this range slightly low quality camera
1239	Invoice of Micromax Mobile	Oct 14, 2015	Yes	Invoice copy of Micromax Mobile	Please Send Invoice Copy of Micromax Mobile
1240	P.Sett	Oct 14, 2015	Yes	WHO WILL BE THE NEXT GAINER	I WAS CONFUSED BEFORE PURCHASED BUT WHEN I SEE IT, I DON'T BELIEVED THAT IT WOULD BE POSSIBLE  IN THIS PRICE RANGE FOR THIS AWESOME  PRODUCT. IT IS BIG, THIN AND SMART LOOKING ALSO. SO, WHOM PURCHASED THIS PRODUCT , DEFINITELY THEY ARE GAINER.
1241	ravi	Oct 14, 2015	Yes	Micromax canvas spark	Excellent... Phone in low budget gud looking and ...
1242	misti	Oct 14, 2015	Yes	micromax	this  is a good phone with this price camera is also good for taking picture
1243	p kumar	Oct 14, 2015	Yes	micromax canvas spark 2 (Q334)	good looking, light weight big  screen overall good
1244	lakhan	Oct 14, 2015	Yes	nic	best of micromax canvas spark 2  very nice pic and good lookign mobiel best picc
1245	meet	Oct 14, 2015	Yes	very good deal	Awesome phone good performance in department
1246	Sasi	Oct 14, 2015	Yes	Spark 2	nice prise... Nice mobile... I love you this mobile this price
